# Rime user dictionary
#@/db_name	luna_pinyin.userdb.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	36766
#@/user_id	Office-PC
bu bu bu 	不不不	c=1 d=1.94648e-012 t=36766
bu chong 	補充	c=10 d=0.00763044 t=36766
bu chou 	不愁	c=1 d=7.28253e-035 t=36766
bu chou 	不抽	c=1 d=7.31903e-035 t=36766
bu chu 	不出	c=1 d=3.24035e-009 t=36766
bu chu lai 	不出來	c=2 d=1.0029e-034 t=36766
bu chu li 	不處理	c=2 d=1.153e-013 t=36766
bu chu qu 	不出去	c=1 d=5.25735e-025 t=36766
bu cong 	不從	c=1 d=1.96457e-062 t=36766
bu cun zai 	不存在	c=1 d=1.1906e-023 t=36766
bu cuo 	不錯	c=5 d=1 t=36766
bu da 	不大	c=3 d=2.3074e-012 t=36766
bu da rao 	不打擾	c=2 d=0.000161662 t=36766
bu da suan 	不打算	c=2 d=2.41164e-033 t=36766
bu dai 	不帶	c=1 d=2.29246e-025 t=36766
bu dai biao 	不代表	c=1 d=2.3159e-027 t=36766
bu dao 	不到	c=6 d=0.000837575 t=36766
bu dei liao 	不得了	c=1 d=1.51608e-072 t=36766
bu di gui 	不遞歸	c=2 d=1.79707e-034 t=36766
bu dian 	不點	c=1 d=4.36184e-034 t=36766
bu dian 	布點	c=1 d=4.34008e-034 t=36766
bu ding 	補丁	c=1 d=5.19497e-061 t=36766
bu dong 	不懂	c=5 d=9.6128e-007 t=36766
bu dong ne ge 	不懂呢個	c=1 d=2.22041e-061 t=36766
bu dou ni 	不逗你	c=1 d=0.00562801 t=36766
bu du qu 	不讀取	c=1 d=1.57371e-011 t=36766
bu duan 	不斷	c=0 d=6.38021e-068 t=36766
bu dui 	不對	c=5 d=1.74283e-006 t=36766
bu dui qi 	不對齊	c=2 d=0.0301974 t=36766
bu duo 	不多	c=4 d=1.18305e-007 t=36766
bu fang bian 	不方便	c=1 d=9.09683e-005 t=36766
bu fei 	不菲	c=0 d=0.000484407 t=36766
bu fei he 	不菲和	c=1 d=0.00486835 t=36766
bu fen 	部分	c=28 d=0.394554 t=36766
bu fong 	不甮	c=1 d=4.72336e-059 t=36766
bu fu gai 	不覆蓋	c=1 d=0.000642592 t=36766
bu gai 	不改	c=2 d=1.60959e-028 t=36766
bu gan 	不敢	c=2 d=2.06325e-013 t=36766
bu gan xing qu 	不感興趣	c=1 d=8.90067e-072 t=36766
bu ge 	補個	c=1 d=2.9958e-026 t=36766
bu gei 	補給	c=0 d=2.20415e-005 t=36766
bu gei bie ren 	補給別人	c=1 d=0.000221519 t=36766
bu gen 	不跟	c=2 d=7.99908e-021 t=36766
bu gou 	不夠	c=2 d=6.34664e-005 t=36766
bu guai 	不乖	c=1 d=1.35308e-028 t=36766
bu guan 	不管	c=4 d=2.09801e-041 t=36766
bu guo 	不過	c=33 d=0.384445 t=36766
bu guo xian zai 	不過現在	c=1 d=6.84538e-042 t=36766
bu hao 	不好	c=18 d=0.293793 t=36766
bu hao 	補好	c=1 d=7.2672e-069 t=36766
bu hao yi si 	不好意思	c=2 d=3.13529e-032 t=36766
bu hu 	不胡	c=2 d=0.0327124 t=36766
bu huan 	不換	c=1 d=2.6332e-067 t=36766
bu hui 	不會	c=63 d=0.927948 t=36766
bu hui diao 	不回調	c=2 d=1.32448e-012 t=36766
bu hui you 	不會有	c=1 d=3.64839e-021 t=36766
bu ji 	不及	c=0 d=3.85664e-028 t=36766
bu ji ben yi zhi 	不基本一致	c=1 d=1.68977e-054 t=36766
bu ji de 	不記得	c=1 d=1.2161e-037 t=36766
bu ji shi 	不及時	c=1 d=0.245367 t=36766
bu jiao 	不繳	c=1 d=3.6002e-041 t=36766
bu jie mi 	不解密	c=1 d=8.86712e-057 t=36766
bu jin 	不僅	c=2 d=1.54281e-013 t=36766
bu jin neng 	不僅能	c=1 d=3.40348e-027 t=36766
bu jin qu 	不進去	c=1 d=7.27734e-056 t=36766
bu jin xu yao 	不僅需要	c=1 d=1.19905e-018 t=36766
bu jiu 	不久	c=1 d=0.99005 t=36766
bu jiu jie 	不糾結	c=1 d=6.96705e-014 t=36766
bu jiu shi 	不就是	c=1 d=9.8508e-030 t=36766
bu ju 	佈局	c=3 d=6.68233e-023 t=36766
bu ka 	不卡	c=1 d=2.79955e-023 t=36766
bu kai fa 	不開發	c=1 d=4.43002e-040 t=36766
bu kai xin 	不開心	c=1 d=1.40371e-019 t=36766
bu kan 	不看	c=2 d=0.000662162 t=36766
bu kao 	不拷	c=1 d=7.15437e-032 t=36766
bu kao lv 	不考慮	c=1 d=0.0095616 t=36766
bu ke 	不可	c=1 d=4.77683e-015 t=36766
bu ke kong zhi 	不可控制	c=1 d=5.75638e-033 t=36766
bu ke neng 	不可能	c=3 d=2.26965e-025 t=36766
bu ke qi 	不客氣	c=1 d=1.81952e-042 t=36766
bu ke yong 	不可用	c=3 d=1.95185e-015 t=36766
bu lai 	不來	c=2 d=0.137925 t=36766
bu le 	補了	c=1 d=9.86926e-052 t=36766
bu li jie 	不理解	c=1 d=4.95119e-025 t=36766
bu liao 	不了	c=11 d=0.0370107 t=36766
bu man zu 	不滿足	c=2 d=0.255381 t=36766
bu men 	部門	c=2 d=7.10249e-064 t=36766
bu nan 	不難	c=1 d=2.27004e-027 t=36766
bu neng 	不能	c=32 d=0.0165989 t=36766
bu neng gai 	不能改	c=1 d=5.49635e-048 t=36766
bu nu li 	不努力	c=1 d=5.16747e-028 t=36766
bu ou tu neng gou 	不嘔吐能夠	c=1 d=5.38368e-069 t=36766
bu pa 	不怕	c=1 d=0.390628 t=36766
bu pei 	不賠	c=1 d=1.31963e-057 t=36766
bu pei tao 	不配套	c=1 d=1.60436e-032 t=36766
bu qi 	不起	c=1 d=1.52192e-076 t=36766
bu qi 	不齊	c=1 d=1.14326e-075 t=36766
bu qiang 	不強	c=1 d=3.89118e-073 t=36766
bu qing chu 	不清楚	c=2 d=8.01265e-012 t=36766
bu qu 	不去	c=1 d=5.80237e-009 t=36766
bu qu fen 	不區分	c=2 d=3.05084e-060 t=36766
bu quan 	不全	c=5 d=0.0323033 t=36766
bu quan de 	不全的	c=1 d=2.66012e-069 t=36766
bu que ding 	不確定	c=16 d=0.0229371 t=36766
bu ran 	不然	c=20 d=0.085851 t=36766
bu re qi 	不惹氣	c=1 d=3.63576e-039 t=36766
bu ren shi 	不認識	c=1 d=5.79194e-076 t=36766
bu ren zhen kan 	不認真看	c=1 d=7.95481e-015 t=36766
bu ru 	不如	c=1 d=1.67216e-019 t=36766
bu sao miao 	不掃描	c=3 d=0.000523839 t=36766
bu shang 	不上	c=6 d=0.276948 t=36766
bu shang 	補上	c=1 d=1.19738e-031 t=36766
bu shang lai 	不上來	c=1 d=4.0273e-007 t=36766
bu sheng xiao 	不生效	c=1 d=0.0871609 t=36766
bu shi 	不是	c=88 d=0.0200441 t=36766
bu shi he 	不適合	c=1 d=1.50759e-006 t=36766
bu shi wo 	不是我	c=1 d=3.76771e-076 t=36766
bu shu 	部署	c=3 d=5.08101e-006 t=36766
bu shu fu 	不舒服	c=2 d=0.0023935 t=36766
bu shu xi 	不熟悉	c=3 d=6.01643e-031 t=36766
bu suan 	不算	c=1 d=5.46522e-040 t=36766
